sample_idx,bone_in_beam_candidate,bone_fraction_in_relevant_band,max_hu_in_relevant_band,beam_slice_idx,beam_peak_y,beam_peak_x,gt_max,dose_sum_slice,relevant_fraction_in_slice,ct_hu_mean_relevant,ct_hu_std_relevant,weighted_t010,weighted_t015,weighted_tuned,overall_t010,overall_t015,overall_tuned,high_t010,high_t015,high_tuned,delta_weighted_t010_vs_tuned,delta_weighted_t015_vs_tuned,delta_overall_t010_vs_tuned,delta_overall_t015_vs_tuned,delta_high_t010_vs_tuned,delta_high_t015_vs_tuned
324,True,0.45161290322580644,1349.1474609375,16,16,0,2.486715316772461,75.0054931640625,0.1806640625,-75.43151092529297,550.2647705078125,4.491463187150657e-05,3.5397653846303e-05,3.813580042333342e-05,0.004184847231954336,0.003631030675023794,0.0036223172210156918,0.005137183237820864,0.004602720029652119,0.005190822295844555,6.77883144817315e-06,-2.7381465770304203e-06,0.0005625300109386444,8.713454008102417e-06,-5.363905802369118e-05,-0.0005881022661924362
265,True,0.175,869.9827880859375,16,16,0,3.6937592029571533,92.63385772705078,0.216796875,96.0726547241211,148.9097137451172,2.5142906451947056e-05,6.549493264174089e-05,3.681062662508339e-05,0.002468937309458852,0.0027146621141582727,0.0023157219402492046,0.0035982830449938774,0.005365162622183561,0.003603713819757104,-1.1667720173136331e-05,2.86843060166575e-05,0.00015321536920964718,0.0003989401739090681,-5.430774763226509e-06,0.0017614488024264574
86,True,0.10810810810810811,526.692138671875,16,16,0,2.732128381729126,87.69679260253906,0.2490234375,-360.7715759277344,467.3282775878906,3.557502350304276e-05,4.116950003663078e-05,3.658895002445206e-05,0.003296811133623123,0.0035277174320071936,0.0030011243652552366,0.00602473970502615,0.006651515141129494,0.005768853239715099,-1.013926521409303e-06,4.580550012178719e-06,0.00029568676836788654,0.0005265930667519569,0.0002558864653110504,0.0008826619014143944
479,True,0.15384615384615385,705.96484375,16,16,0,3.4600346088409424,86.23159790039062,0.2080078125,52.78337860107422,428.85736083984375,6.627460243180394e-05,4.545324918581173e-05,3.633039887063205e-05,0.0034319348633289337,0.0031759513076394796,0.003107462078332901,0.006112115923315287,0.005170712247490883,0.005159453023225069,2.994420356117189e-05,9.122850315179676e-06,0.0003244727849960327,6.848922930657864e-05,0.0009526629000902176,1.1259224265813828e-05
218,True,0.14285714285714285,701.947509765625,16,16,0,3.6512603759765625,88.0101318359375,0.20703125,130.95083618164062,361.4161682128906,5.701694681192748e-05,7.182423723861575e-05,3.583008947316557e-05,0.002956788521260023,0.0032538590021431446,0.0027098567225039005,0.005793788004666567,0.007781831081956625,0.005268660839647055,2.118685733876191e-05,3.599414776545018e-05,0.0002469317987561226,0.0005440022796392441,0.0005251271650195122,0.0025131702423095703
375,True,0.4473684210526316,970.3287353515625,16,16,0,4.140489101409912,92.59732055664062,0.2158203125,235.79164123535156,262.8874816894531,3.0232005883590318e-05,4.435085065779276e-05,3.557190575520508e-05,0.0022717530373483896,0.0024497504346072674,0.002397616859525442,0.004498471971601248,0.006640162318944931,0.005462408997118473,-5.339899871614762e-06,8.778944902587682e-06,-0.0001258638221770525,5.2133575081825256e-05,-0.0009639370255172253,0.001177753321826458
135,True,0.24324324324324326,1226.9619140625,16,16,0,3.431135416030884,83.670166015625,0.205078125,47.68724822998047,496.35906982421875,4.381927283247933e-05,6.030024087522179e-05,3.4638404031284153e-05,0.0024887933395802975,0.002826509764418006,0.0023242011666297913,0.006217629183083773,0.007968653924763203,0.00488418759778142,9.180868801195174e-06,2.5661836843937635e-05,0.0001645921729505062,0.0005023085977882147,0.001333441585302353,0.003084466326981783
363,True,0.5517241379310345,1084.82470703125,16,16,0,2.2655131816864014,82.51516723632812,0.2412109375,-444.40411376953125,587.8358154296875,4.060181890963577e-05,3.0617469747085124e-05,3.449774521868676e-05,0.003618081798776984,0.003334305714815855,0.0036547353956848383,0.004385626874864101,0.004279306624084711,0.004502944182604551,6.104073690949008e-06,-3.880275471601635e-06,-3.665359690785408e-05,-0.00032042968086898327,-0.0001173173077404499,-0.00022363755851984024
89,True,0.07547169811320754,687.517578125,16,16,0,2.2405378818511963,88.79458618164062,0.21875,-500.9446105957031,376.9600830078125,3.9564198232255876e-05,2.873187440854963e-05,3.317140362923965e-05,0.0033981353044509888,0.003262411803007126,0.0027808132581412792,0.005279016215354204,0.0039386870339512825,0.004769242834299803,6.3927946030162275e-06,-4.4395292206900194e-06,0.0006173220463097095,0.00048159854486584663,0.0005097733810544014,-0.0008305558003485203
314,True,0.4,1246.65283203125,16,16,0,3.6667487621307373,91.64118957519531,0.22265625,57.962745666503906,273.8812255859375,2.9017603083048016e-05,2.3315209546126425e-05,3.269480657763779e-05,0.0020485715940594673,0.00199575861915946,0.0019334377720952034,0.0036690286360681057,0.004594165366142988,0.004208551254123449,-3.677203494589776e-06,-9.379597031511366e-06,0.00011513382196426392,6.232084706425667e-05,-0.0005395226180553436,0.0003856141120195389
211,True,0.225,639.3822021484375,16,16,0,3.949152708053589,94.67448425292969,0.2333984375,82.3060531616211,477.1510314941406,3.083460251218639e-05,5.839309960720129e-05,3.2026058761402965e-05,0.002900476334616542,0.0030510679353028536,0.002703048288822174,0.0049959151074290276,0.006634486839175224,0.0048551117070019245,-1.1914562492165715e-06,2.636704084579833e-05,0.0001974280457943678,0.0003480196464806795,0.00014080340042710304,0.0017793751321732998
43,True,0.34375,1112.326416015625,16,16,0,2.397343635559082,69.16117858886719,0.14453125,25.60430145263672,270.0475158691406,4.4091273593949154e-05,1.960972440429032e-05,3.087312143179588e-05,0.0030639334581792355,0.002905484987422824,0.003267783671617508,0.005586924031376839,0.0032531707547605038,0.005131803452968597,1.3218152162153274e-05,-1.1263397027505562e-05,-0.00020385021343827248,-0.00036229868419468403,0.00045512057840824127,-0.0018786326982080936
223,True,0.2777777777777778,997.6380615234375,16,16,0,3.3350696563720703,85.52667236328125,0.1875,154.4738006591797,263.07354736328125,5.4080239351605996e-05,6.75109913572669e-05,3.073892366955988e-05,0.0033679117914289236,0.0033681856002658606,0.003073467407375574,0.0048578521236777306,0.003992713056504726,0.003066540230065584,2.3341315682046115e-05,3.677206768770702e-05,0.0002944443840533495,0.00029471819289028645,0.0017913118936121464,0.0009261728264391422
448,True,0.075,439.64453125,16,16,0,3.2188615798950195,80.8460693359375,0.1953125,72.80445861816406,276.46875,3.1362491426989436e-05,2.1417910829768516e-05,2.996127113874536e-05,0.0029491246677935123,0.0025039957836270332,0.002739381045103073,0.004758797120302916,0.0037397057749330997,0.00535468477755785,1.401220288244076e-06,-8.543360308976844e-06,0.00020974362269043922,-0.0002353852614760399,-0.0005958876572549343,-0.0016149790026247501
120,True,0.29411764705882354,1425.397216796875,16,16,0,3.4644219875335693,85.48497772216797,0.1748046875,278.994140625,388.70355224609375,4.129909575567581e-05,2.864873385988176e-05,2.9641671062563546e-05,0.0030672186985611916,0.0033213463611900806,0.003422472858801484,0.003719580126926303,0.004731765948235989,0.004227780736982822,1.1657424693112262e-05,-9.929372026817873e-07,-0.00035525416024029255,-0.00010112649761140347,-0.0005082006100565195,0.0005039852112531662
392,True,0.05263157894736842,662.3388671875,16,16,0,1.5434551239013672,91.38545227050781,0.2470703125,-815.4698486328125,351.3743591308594,6.06788344157394e-05,2.754667184490245e-05,2.9280070521053858e-05,0.0029844040982425213,0.0027863960713148117,0.002915431745350361,0.007029046770185232,0.006348878610879183,0.005836491473019123,3.1398763894685544e-05,-1.7333986761514097e-06,6.897235289216042e-05,-0.00012903567403554916,0.001192555297166109,0.0005123871378600597
100,True,0.4166666666666667,1044.138916015625,16,16,0,3.354797840118408,80.69302368164062,0.189453125,182.1492462158203,261.4978332519531,1.719150532153435e-05,2.1676332835340872e-05,2.9098227969370782e-05,0.0017704472411423922,0.0017782623181119561,0.0018038932466879487,0.002738101175054908,0.0030730313155800104,0.0035500419326126575,-1.1906722647836432e-05,-7.42189513402991e-06,-3.3446005545556545e-05,-2.5630928575992584e-05,-0.0008119407575577497,-0.00047701061703264713
5,True,0.7272727272727273,825.7579345703125,16,16,0,3.451348066329956,76.44096374511719,0.181640625,289.5398254394531,318.1178894042969,3.522088081808761e-05,2.8276459488552064e-05,2.8869157176814042e-05,0.003025719430297613,0.0028403596952557564,0.002925438340753317,0.004170425236225128,0.004859338514506817,0.004458323586732149,6.351723641273566e-06,-5.926976882619783e-07,0.00010028108954429626,-8.50786454975605e-05,-0.00028789835050702095,0.00040101492777466774
106,True,0.07547169811320754,485.262451171875,15,16,0,2.645111083984375,92.18934631347656,0.2470703125,-445.6496276855469,383.16796875,4.10728134738747e-05,2.044914072030224e-05,2.8081340133212507e-05,0.002325308509171009,0.0024477741681039333,0.002462869044393301,0.004643878899514675,0.004450155422091484,0.005155921448022127,1.2991473340662196e-05,-7.632199412910268e-06,-0.00013756053522229195,-1.5094876289367676e-05,-0.000512042548507452,-0.0007057660259306431
471,True,0.19444444444444445,811.913330078125,16,16,0,2.715336561203003,74.55609130859375,0.19140625,-116.87409973144531,367.4007873535156,5.9270743804518133e-05,2.5841776732704602e-05,2.8008398658130318e-05,0.003429058939218521,0.003108845092356205,0.002804417163133621,0.006424798630177975,0.004518116824328899,0.004489690996706486,3.1262345146387815e-05,-2.1666219254257157e-06,0.0006246417760848999,0.00030442792922258377,0.001935107633471489,2.8425827622413635e-05
142,True,0.5588235294117647,1067.700927734375,16,16,0,3.69765043258667,83.66851806640625,0.197265625,239.3775177001953,292.2796936035156,3.7915113352937624e-05,4.254267332726158e-05,2.791739098029211e-05,0.0029927617870271206,0.003028781618922949,0.002927679568529129,0.00533696124330163,0.00561183737590909,0.005280825775116682,9.997722372645512e-06,1.462528234696947e-05,6.508221849799156e-05,0.00010110205039381981,5.613546818494797e-05,0.000331011600792408
454,True,0.2631578947368421,645.898681640625,16,16,0,3.247128963470459,86.85662841796875,0.208984375,-4.0598602294921875,213.63526916503906,1.7409965948900208e-05,1.8597491362015717e-05,2.729883090069052e-05,0.002267636824399233,0.002453152323141694,0.0026349585969001055,0.0037620083894580603,0.004672871436923742,0.006177444942295551,-9.88886495179031e-06,-8.701339538674802e-06,-0.0003673217725008726,-0.0001818062737584114,-0.002415436552837491,-0.001504573505371809
415,True,0.18421052631578946,709.870849609375,16,16,0,3.5874545574188232,86.98272705078125,0.201171875,176.68959045410156,186.2050018310547,6.397272227331996e-05,2.66900042333873e-05,2.6890587832895108e-05,0.0027555946726351976,0.0023709614761173725,0.0022300761193037033,0.005810607224702835,0.004191317595541477,0.003906362224370241,3.708213444042485e-05,-2.0058359950780869e-07,0.0005255185533314943,0.0001408853568136692,0.001904245000332594,0.00028495537117123604
127,True,0.20588235294117646,1317.98291015625,16,16,0,2.768371820449829,77.19197082519531,0.2333984375,-281.8797607421875,630.0453491210938,2.4037526600295678e-05,3.0494094971800223e-05,2.6802374122780748e-05,0.002632387215271592,0.0030126599594950676,0.0029031862504780293,0.004481791518628597,0.004692997317761183,0.004894389305263758,-2.76484752248507e-06,3.6917208490194753e-06,-0.0002707990352064371,0.00010947370901703835,-0.00041259778663516045,-0.00020139198750257492
491,True,0.15384615384615385,824.854248046875,16,16,0,2.0913801193237305,75.89165496826172,0.1884765625,-451.7696838378906,500.4774169921875,1.5850608178880066e-05,1.9796798369497992e-05,2.649833550094627e-05,0.0023507154546678066,0.002492260653525591,0.0025072298012673855,0.0028426088392734528,0.003951706923544407,0.004329232964664698,-1.0647727322066203e-05,-6.701537131448276e-06,-0.00015651434659957886,-1.4969147741794586e-05,-0.0014866241253912449,-0.00037752604112029076
204,True,0.09090909090909091,537.560546875,16,16,0,1.9667067527770996,86.54679107666016,0.208984375,-589.7681884765625,461.0155944824219,1.630924452911131e-05,1.1220628948649392e-05,2.5573433958925307e-05,0.002592475851997733,0.002236255444586277,0.0034262111876159906,0.0031793767120689154,0.0024302939418703318,0.004997102078050375,-9.264189429813996e-06,-1.4352805010275915e-05,-0.0008337353356182575,-0.0011899557430297136,-0.0018177253659814596,-0.0025668081361800432
473,True,0.12727272727272726,521.2237548828125,16,16,0,2.1051316261291504,98.82780456542969,0.2626953125,-662.3209838867188,363.7857360839844,2.6297426302335225e-05,3.2803694921312854e-05,2.5138890123344027e-05,0.003034223336726427,0.0031061165500432253,0.0027835280634462833,0.004510152619332075,0.0053949602879583836,0.005000037141144276,1.1585361789911985e-06,7.664804797968827e-06,0.00025069527328014374,0.00032258848659694195,-0.0004898845218122005,0.0003949231468141079
417,True,0.48484848484848486,1165.32666015625,16,16,0,3.7570769786834717,90.75666046142578,0.205078125,199.1820526123047,324.59979248046875,3.0703169613843784e-05,2.0656252672779374e-05,2.486952507751994e-05,0.0020348208490759134,0.0020972732454538345,0.0019154695328325033,0.0032371694687753916,0.004001465626060963,0.0037827331107109785,5.833644536323845e-06,-4.2132724047405645e-06,0.00011935131624341011,0.00018180371262133121,-0.0005455636419355869,0.00021873251534998417
57,True,0.17647058823529413,1254.44921875,16,16,0,2.7882771492004395,76.31266784667969,0.162109375,94.46845245361328,240.6067657470703,4.059715138282627e-05,1.8363465642323717e-05,2.4813565687509254e-05,0.0028396586421877146,0.002604431938380003,0.002531347330659628,0.0056764199398458,0.0027253138832747936,0.0039470503106713295,1.5783585695317015e-05,-6.450100045185536e-06,0.00030831131152808666,7.308460772037506e-05,0.001729369629174471,-0.0012217364273965359
237,True,0.22916666666666666,574.9443359375,16,16,0,2.5773041248321533,88.79741668701172,0.2626953125,-469.6916809082031,462.4663391113281,2.592899363662582e-05,2.5810444640228525e-05,2.3823173251003027e-05,0.0030803275294601917,0.002791751641780138,0.0028904848732054234,0.004658838268369436,0.004529645200818777,0.004447744693607092,2.105820385622792e-06,1.987271389225498e-06,0.00018984265625476837,-9.873323142528534e-05,0.00021109357476234436,8.190050721168518e-05
413,True,0.175,760.660888671875,16,16,0,3.4475972652435303,82.69377136230469,0.2001953125,129.14581298828125,214.33299255371094,3.358850153745152e-05,3.271970126661472e-05,2.378614772169385e-05,0.0026401295326650143,0.0029149544425308704,0.0026474581100046635,0.004311553202569485,0.0053574880585074425,0.004402526188641787,9.80235381575767e-06,8.93355354492087e-06,-7.3285773396492004e-06,0.00026749633252620697,-9.097298607230186e-05,0.0009549618698656559
447,True,0.2619047619047619,654.932861328125,16,16,0,2.349864959716797,79.55033874511719,0.1962890625,-370.96905517578125,460.71612548828125,3.0357306968653575e-05,2.275368751725182e-05,2.366271655773744e-05,0.003049737075343728,0.0025682710111141205,0.0026529820170253515,0.005092401057481766,0.0039218212477862835,0.004960597492754459,6.694590410916135e-06,-9.090290404856205e-07,0.00039675505831837654,-8.471100591123104e-05,0.00013180356472730637,-0.0010387762449681759
370,True,0.09803921568627451,1283.923828125,15,16,0,1.6384726762771606,86.47634887695312,0.2392578125,-793.23828125,426.34906005859375,7.657765672774985e-05,4.490384890232235e-05,2.363299972785171e-05,0.003361389273777604,0.0030278745107352734,0.002856398932635784,0.009883188642561436,0.006659119389951229,0.005386865232139826,5.294465699989814e-05,2.127084917447064e-05,0.00050499034114182,0.0001714755780994892,0.00449632341042161,0.0012722541578114033
