sample_idx,case_id,axis,base_mean_pct,phase9d_mean_pct,phase9g_mean_pct,improvement_abs,improvement_pct,base_max_pct,phase9d_max_pct,phase9g_max_pct,valid_count,threshold,display_score
416,62242424098194756750821789925294112700,y,16.374750882166524,1.2305385865891472,1.220919012038357,15.153831870128167,92.54389254481771,18.146971498255844,6.665516742716023,6.665516742716023,32,0.03185043096542359,17.44435524342438
295,62242424098194756750821789925294112700,z,16.28453108140249,1.1785301021118926,1.1617182675948123,15.122812813807679,92.86612386273653,19.44703235868071,6.844356615973958,6.844356615973958,32,0.032738866806030276,17.44420377532194
237,62242424098194756750821789925294112700,z,16.21059237815066,1.0880710509031721,1.1299937816597938,15.080598596490868,93.02928748929757,19.013002998782174,7.2514894245355865,7.2514894245355865,32,0.031216979026794434,17.414692116968624
125,62242424098194756750821789925294112700,z,16.113566101747974,1.0382312807391254,1.079199057596369,15.034367044151605,93.30254358276684,18.216442778742124,6.033796634931233,6.033796634931233,32,0.03095695734024048,17.392002666216523
442,62242424098194756750821789925294112700,z,15.993291980305546,0.9763678971216463,1.0172956983328372,14.975996281972709,93.63923506836817,19.215791276788742,4.675330309889603,4.675330309889603,32,0.03462138891220093,17.362018305268915
276,62242424098194756750821789925294112700,y,18.449925275972944,2.6767182524026802,2.634172900774434,15.81575237519851,85.72258223301785,24.0486598877075,14.170428329096426,14.170428329096426,32,0.02716377258300781,17.357611491013625
390,62242424098194756750821789925294112700,z,17.965032803923926,2.3282747485348563,2.3173537067857897,15.647679097138136,87.10075433321943,21.37099691959937,7.5397098707930565,7.5397098707930565,32,0.03475143432617188,17.35441873763738
306,62242424098194756750821789925294112700,y,17.968329994192672,2.3921776299245874,2.349645790512012,15.61868420368066,86.92340467943457,24.230429970045137,9.424628662957911,9.424628662957911,32,0.031691405773162845,17.30169935992555
237,62242424098194756750821789925294112700,y,16.0404381307982,1.0469772824862549,1.088689314956397,14.951748815841803,93.21284546344553,18.269693504990727,6.47684523255344,6.47684523255344,32,0.031216979026794434,17.291297549244234
580,62242424098194756750821789925294112700,y,16.797817375785954,1.6461269535205918,1.6039361523556908,15.193881223430264,90.45152042364197,19.704622490849502,7.660453909888911,7.660453909888911,32,0.0339546012878418,17.26060171553139
502,62242424098194756750821789925294112700,y,16.25636366269802,1.2536746291483314,1.2550531666024463,15.001310496095575,92.27961921945518,18.624546958256374,8.027222081519986,8.027222081519986,32,0.03621149778366089,17.248475170548446
350,62242424098194756750821789925294112700,y,16.008813204281445,1.0775693670995505,1.0988404617557772,14.909972742525667,93.13602790508229,19.072060334127634,7.46834874767883,7.46834874767883,32,0.027766964435577392,17.23716437685105
420,62242424098194756750821789925294112700,z,17.34815728997526,2.0531449683784984,2.0103431921652017,15.337814097810057,88.41177672415924,22.211981400775457,9.297535393906077,9.297535393906077,32,0.027722535133361818,17.182280297182444
392,62242424098194756750821789925294112700,y,16.709676962594237,1.550432692649366,1.5924392880850746,15.117237674509163,90.46995761380154,19.867504426135493,6.733162271117197,6.733162271117197,32,0.03424916505813599,17.179359752834493
484,62242424098194756750821789925294112700,y,16.70930633515913,1.557177499323191,1.5964435168903952,15.112862818268734,90.44578216526084,23.17108435330422,9.316489719029386,9.316489719029386,32,0.0261358118057251,17.17192613087481
580,62242424098194756750821789925294112700,z,15.886864231505886,1.1117298083508405,1.0696088650007154,14.81725536650517,93.26733797972375,18.863424785506908,4.236549350020418,4.236549350020418,32,0.0339546012878418,17.148078352480514
413,62242424098194756750821789925294112700,z,15.816838219777843,1.016382837408005,1.0266926008369546,14.790145618940889,93.5088631752961,18.442171656311857,5.000942309168963,5.000942309168963,32,0.03653008937835694,17.14265190127985
